Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    180.47     0.00        2     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_int32_r1
  0.00    180.47     0.00        2     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_logical_r1
  0.00    180.47     0.00        2     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_string
  0.00    180.47     0.00        2     0.00     0.00  __modstat_nc_MOD_exitstat_nc
  0.00    180.47     0.00        2     0.00     0.00  __modstat_nc_MOD_writestat_dims_nc
  0.00    180.47     0.00        2     0.00     0.00  rffti1_
  0.00    180.47     0.00        1     0.00   180.46  MAIN__
  0.00    180.47     0.00        1     0.00     0.00  __modagscross_MOD_exitagscross
  0.00    180.47     0.00        1     0.00     0.00  __modagscross_MOD_initagscross
  0.00    180.47     0.00        1     0.00     0.00  __modboundary_MOD_exitboundary
  0.00    180.47     0.00        1     0.00     0.00  __modbudget_MOD_exitbudget
  0.00    180.47     0.00        1     0.00     0.00  __modbudget_MOD_initbudget
  0.00    180.47     0.00        1     0.00     0.00  __modbulkmicrostat_MOD_exitbulkmicrostat
  0.00    180.47     0.00        1     0.00     0.00  __modbulkmicrostat_MOD_initbulkmicrostat
  0.00    180.47     0.00        1     0.00     0.00  __modcanopy_MOD_exitcanopy
  0.00    180.47     0.00        1     0.00     0.00  __modcanopy_MOD_initcanopy
  0.00    180.47     0.00        1     0.00     0.00  __modcape_MOD_exitcape
  0.00    180.47     0.00        1     0.00     0.00  __modcape_MOD_initcape
  0.00    180.47     0.00        1     0.00     0.00  __modchecksim_MOD_initchecksim
  0.00    180.47     0.00        1     0.00     0.00  __modchem_MOD_initchem
  0.00    180.47     0.00        1     0.00     0.00  __modcloudfield_MOD_initcloudfield
  0.00    180.47     0.00        1     0.00     0.00  __modcrosssection_MOD_exitcrosssection
  0.00    180.47     0.00        1     0.00     0.00  __modcrosssection_MOD_initcrosssection
  0.00    180.47     0.00        1     0.00     0.00  __modfft2d_MOD_fft2dexit
  0.00    180.47     0.00        1     0.00     0.00  __modfft2d_MOD_fft2dinit
  0.00    180.47     0.00        1     0.00     0.00  __modfft2d_MOD_fft2dinit_factors
  0.00    180.47     0.00        1     0.00     0.00  __modfielddump_MOD_exitfielddump
  0.00    180.47     0.00        1     0.00     0.00  __modfielddump_MOD_initfielddump
  0.00    180.47     0.00        1     0.00     0.00  __modfields_MOD_exitfields
  0.00    180.47     0.00        1     0.00     0.00  __modgenstat_MOD_exitgenstat
  0.00    180.47     0.00        1     0.00     0.00  __modgenstat_MOD_initgenstat
  0.00    180.47     0.00        1     0.00     0.00  __modglobal_MOD_exitglobal
  0.00    180.47     0.00        1     0.00     0.00  __modglobal_MOD_initglobal
  0.00    180.47     0.00        1     0.00     0.00  __modheterostats_MOD_exitheterostats
  0.00    180.47     0.00        1     0.00     0.00  __modheterostats_MOD_initheterostats
  0.00    180.47     0.00        1     0.00     0.00  __modlsmcrosssection_MOD_exitlsmcrosssection
  0.00    180.47     0.00        1     0.00     0.00  __modlsmcrosssection_MOD_initlsmcrosssection
  0.00    180.47     0.00        1     0.00     0.00  __modlsmstat_MOD_exitlsmstat
  0.00    180.47     0.00        1     0.00     0.00  __modlsmstat_MOD_initlsmstat
  0.00    180.47     0.00        1     0.00     0.00  __modmicrophysics_MOD_exitmicrophysics
  0.00    180.47     0.00        1     0.00     0.00  __modmicrophysics_MOD_initmicrophysics
  0.00    180.47     0.00        1     0.00     0.00  __modmpi_MOD_exitmpi
  0.00    180.47     0.00        1     0.00     0.00  __modmpi_MOD_initmpi
  0.00    180.47     0.00        1     0.00     0.00  __modmpi_MOD_initmpicomm
  0.00    180.47     0.00        1     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_int32_r2
  0.00    180.47     0.00        1     0.00     0.00  __modmpiinterface_MOD_d_mpi_bcast_real64_r2
  0.00    180.47     0.00        1     0.00     0.00  __modnudge_MOD_exitnudge
  0.00    180.47     0.00        1     0.00     0.00  __modnudge_MOD_initnudge
  0.00    180.47     0.00        1     0.00     0.00  __modpois_MOD_exitpois
  0.00    180.47     0.00        1     0.00     0.00  __modpois_MOD_initpois
  0.00    180.47     0.00        1     0.00     0.00  __modquadrant_MOD_exitquadrant
  0.00    180.47     0.00        1     0.00     0.00  __modquadrant_MOD_initquadrant
  0.00    180.47     0.00        1     0.00     0.00  __modradiation_MOD_exitradiation
  0.00    180.47     0.00        1     0.00     0.00  __modradstat_MOD_exitradstat
  0.00    180.47     0.00        1     0.00     0.00  __modradstat_MOD_initradstat
  0.00    180.47     0.00        1     0.00     0.00  __modsampling_MOD_exitsampling
  0.00    180.47     0.00        1     0.00     0.00  __modsampling_MOD_initsampling
  0.00    180.47     0.00        1     0.00     0.00  __modsamptend_MOD_exitsamptend
  0.00    180.47     0.00        1     0.00     0.00  __modsamptend_MOD_initsamptend
  0.00    180.47     0.00        1     0.00     0.00  __modstartup_MOD_baseprofs
  0.00    180.47     0.00        1     0.00     0.00  __modstartup_MOD_checkinitvalues
  0.00    180.47     0.00        1     0.00     0.00  __modstartup_MOD_exitmodules
  0.00    180.47     0.00        1     0.00     0.43  __modstartup_MOD_startup
  0.00    180.47     0.00        1     0.00     0.00  __modstat_nc_MOD_initstat_nc
  0.00    180.47     0.00        1     0.00     0.00  __modsubgrid_MOD_exitsubgrid
  0.00    180.47     0.00        1     0.00     0.00  __modsubgrid_MOD_initsubgrid
  0.00    180.47     0.00        1     0.00     0.00  __modsubgrid_MOD_subgridnamelist
  0.00    180.47     0.00        1     0.00     0.00  __modsurface_MOD_exitsurface
  0.00    180.47     0.00        1     0.00     0.00  __modsurface_MOD_initsurface
  0.00    180.47     0.00        1     0.00     0.00  __modsurface_MOD_qtsurf
  0.00    180.47     0.00        1     0.00     0.00  __modtestbed_MOD_exittestbed
  0.00    180.47     0.00        1     0.00     0.00  __modtestbed_MOD_inittestbed
  0.00    180.47     0.00        1     0.00     0.00  __modthermodynamics_MOD_exitthermodynamics
  0.00    180.47     0.00        1     0.00     0.00  __modthermodynamics_MOD_initthermodynamics
  0.00    180.47     0.00        1     0.00     0.00  __modtimedep_MOD_exittimedep
  0.00    180.47     0.00        1     0.00     0.00  __modtimedep_MOD_inittimedep
  0.00    180.47     0.00        1     0.00     0.00  __modtimestat_MOD_exittimestat
  0.00    180.47     0.00        1     0.00     0.00  __modtimestat_MOD_inittimestat
